id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
1089,새마을식당 열탄불고기 찐빵,228kcal,4.90g,38.00g,8.00g,228 ,8,4,
1090,칠리치킨샌드위치,311kcal,7.00g,49.00g,13.00g,311 ,13,7,
1091,맛있닭가슴살 정식,841kcal,25.00g,114.00g,40.00g,841 ,40,25,
1092,NEW 4단 점보 샌드위치,434kcal,22.00g,49.00g,10.00g,434 ,10,22,
1093,딸기마카롱,190kcal,7.00g,28.00g,3.00g,190 ,3,7,
1094,매콤한치킨마요버거,420kcal,26.00g,33.00g,13.00g,420 ,13,26,
1095,오리지널 치킨버거,511kcal,27.00g,60.00g,7.00g,511 ,7,27,
1096,국민집밥 소불고기 정식,655kcal,19.00g,95.00g,26.00g,655 ,26,19,
1097,찹쌀떡 페스츄리,315kcal,15.00g,40.00g,5.00g,315 ,5,15,
1098,매실 불고기 정식,604kcal,16.00g,88.00g,27.00g,604 ,27,16,
1099,통영굴매생이라면,420kcal,14.00g,66.00g,8.00g,420 ,8,14,
1100,떠먹는 리챔 김치 밥버거,313kcal,5.00g,56.00g,11.00g,313 ,11,5,
1101,스프링 리코타 미니샐러드,194kcal,10.00g,22.00g,4.00g,194 ,4,10,
1102,김치목살전골,557kcal,13.00g,94.00g,16.00g,557 ,16,13,
1103,빅 불고기버거,345kcal,15.00g,39.00g,13.00g,345 ,13,15,
1104,크래미아 마카로니 샐러드,415kcal,28.00g,34.00g,7.00g,415 ,7,28,
1105,초코우유,120kcal,4.50g,16.00g,4.00g,120 ,4,4,
1106,고깃집볶음밥 김밥,286kcal,6.00g,44.00g,14.00g,286 ,14,6,
1107,짭짤고소 스팸마요,314kcal,10.00g,49.00g,7.00g,314 ,7,10,
1108,스테이크 치즈 샌드위치,373kcal,17.00g,44.00g,11.00g,373 ,11,17,
1109,클래식 불고기버거,482kcal,22.00g,48.00g,23.00g,482 ,23,22,
1110,고기만두유부초밥,527kcal,23.00g,64.00g,16.00g,527 ,16,23,
1111,고소한 고구마형 과자,625kcal,27.00g,81.00g,14.00g,625 ,14,27,
1112,뻥이요,135kcal,4.70g,21.00g,2.00g,135 ,2,4,
1113,빅더블바베큐버거,729kcal,37.00g,74.00g,25.00g,729 ,25,37,
1114,홍장미베리땅콩샌드위치,382kcal,10.00g,64.00g,9.00g,382 ,9,10,
1115,씨유우유 저지방+칼슘,80kcal,2.00g,10.00g,6.00g,80 ,6,2,
1116,파르페 플러리,277kcal,9.00g,47.00g,2.00g,277 ,2,9,
1117,함박&돈까스 도시락,811kcal,31.00g,101.00g,32.00g,811 ,32,31,
1118,내슈빌핫치킨버거,581kcal,29.00g,53.00g,27.00g,581 ,27,29,
1119,미트볼칠리치즈버거,390kcal,14.00g,49.00g,17.00g,390 ,17,14,
1120,바나나커피,212kcal,6.00g,34.00g,5.50g,212 ,5,6,
1121,간장 직화불고기 삼각김밥,264kcal,4.00g,47.00g,10.00g,264 ,10,4,
1122,오늘한쪽 마늘 스프레드,208kcal,8.00g,30.00g,4.00g,208 ,4,8,
1123,고소한 치즈맛 팝콘,280kcal,13.00g,39.00g,6.00g,280 ,6,13,
1124,멘치까스버거,527kcal,31.00g,43.00g,19.00g,527 ,19,31,
1125,양념/간장 치킨반반김밥,366kcal,10.00g,59.00g,10.00g,366 ,10,10,
1126,불고기 왕가득,155kcal,2.10g,30.00g,4.00g,155 ,4,2,
1127,NEW 상하이스파이시치킨버거,481kcal,21.00g,59.00g,14.00g,481 ,14,21,
1128,까눌레 바닐라향,268kcal,2.70g,57.00g,4.00g,268 ,4,2,
1129,초코콘,400kcal,22.50g,47.50g,5.00g,400 ,5,22,
1130,김치참치 유부초밥,502kcal,14.00g,76.00g,18.00g,502 ,18,14,
1131,백종원 불오리 삼각김밥,207kcal,7.00g,31.00g,5.00g,207 ,5,7,
1132,통등심 돈까스 샌드,487kcal,27.00g,44.00g,17.00g,487 ,17,27,
1133,마늘소스 순살족발,343kcal,17.00g,8.00g,40.00g,343 ,40,17,
1134,소확행 김밥,300kcal,3.10g,56.00g,12.00g,300 ,12,3,
1135,대감댁 장자 슬라이스 족발,190kcal,5.00g,8.00g,28.00g,190 ,28,5,
1136,빽햄김치볶음,199kcal,7.00g,29.00g,5.00g,199 ,5,7,
1137,연세우유옥수수생크림빵,468kcal,20.00g,64.00g,8.00g,468 ,8,20,
1138,매운 까르보볶이,465kcal,16.00g,71.00g,9.00g,465 ,9,16,
1139,크림치즈호두단팥빵,420kcal,13.00g,65.00g,9.00g,420 ,9,13,
1140,간장찜닭한끼,580kcal,12.00g,90.00g,28.00g,580 ,28,12,
1141,우무,3kcal,0.00g,0.80g,0.10g,3 ,0,0,
1142,참치&불고기 반반김밥,343kcal,7.00g,58.00g,12.00g,343 ,12,7,
