id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
240,자두에이드,120kcal,0.00g,29.00g,0.00g,120 ,120 ,120 ,
241,길거리 토스트,454kcal,14.00g,63.00g,19.00g,454 ,454 ,454 ,
242,스팸참치김치 밥버거,414kcal,14.00g,61.00g,11.00g,414 ,414 ,414 ,
243,고소한 참치마요 김밥,289kcal,8.00g,46.00g,8.00g,289 ,289 ,289 ,
244,벨기에 초코와플,403kcal,19.00g,53.00g,5.00g,403 ,403 ,403 ,
245,곱창집볶음밥,183kcal,3.40g,33.00g,5.00g,183 ,183 ,183 ,
246,백종원 2xl 치즈 제육,300kcal,8.00g,47.00g,10.00g,300 ,300 ,300 ,
247,가마로강정 매콤한맛,340kcal,21.00g,24.00g,14.00g,340 ,340 ,340 ,
248,홍게라면,500kcal,19.00g,72.00g,10.00g,500 ,500 ,500 ,
249,백종원 콘치즈감자 샌드위치,303kcal,7.00g,53.00g,7.00g,303 ,303 ,303 ,
250,펭럽유 딸기우유,225kcal,7.80g,33.00g,6.00g,225 ,225 ,225 ,
251,쇠고기미역국,20kcal,0.00g,3.00g,1.00g,20 ,20 ,20 ,
252,이천쌀밥정식,701kcal,16.00g,111.00g,29.00g,701 ,701 ,701 ,
253,치즈카라멜 팝콘,190kcal,7.00g,30.00g,2.00g,190 ,190 ,190 ,
254,더블고기 도시락,500kcal,12.00g,81.00g,17.00g,500 ,500 ,500 ,
255,불고기삼각김밥,195kcal,2.50g,35.00g,8.00g,195 ,195 ,195 ,
256,치즈불닭김밥,349kcal,7.00g,54.00g,17.00g,349 ,349 ,349 ,
257,리얼 훈제 닭가슴살,117kcal,1.90g,2.00g,23.00g,117 ,117 ,117 ,
258,치즈불고기버거,552kcal,32.00g,49.00g,17.00g,552 ,552 ,552 ,
259,모둠튀김&커리 도시락,736kcal,28.00g,100.00g,21.00g,736 ,736 ,736 ,
260,2XL 간장불고기,270kcal,6.00g,45.00g,9.00g,270 ,270 ,270 ,
261,2XL 베이컨참치마요,331kcal,11.00g,50.00g,8.00g,331 ,331 ,331 ,
262,백종원 완전한판 정식,722kcal,22.00g,100.00g,31.00g,722 ,722 ,722 ,
263,불고기김밥,301kcal,6.50g,47.00g,11.00g,301 ,301 ,301 ,
264,BELT샌드위치,268kcal,12.00g,32.00g,8.00g,268 ,268 ,268 ,
265,리얼 생초코찰떡,113kcal,2.30g,22.00g,1.00g,113 ,113 ,113 ,
266,모닝 샌드위치,319kcal,11.00g,46.00g,9.00g,319 ,319 ,319 ,
267,참치김치 삼각김밥,146kcal,1.60g,30.00g,3.00g,146 ,146 ,146 ,
268,3XL 리치치킨데리마요,351kcal,11.00g,54.00g,9.00g,351 ,351 ,351 ,
269,짬뽕밥,415kcal,7.00g,77.00g,11.00g,415 ,415 ,415 ,
